videofile_name,hr_nameMethod,mean_distance
D:\Projects\INMCA_Scarlata\video\cohface/1/0/data.avi,hr green,5.158437944151562
D:\Projects\INMCA_Scarlata\video\cohface/1/0/data.avi, circ hr green 15,12.092274790155331
D:\Projects\INMCA_Scarlata\video\cohface/1/0/data.avi, circ hr green 30,7.510955387459205
D:\Projects\INMCA_Scarlata\video\cohface/1/0/data.avi, circ hr green,5.059931977558624
D:\Projects\INMCA_Scarlata\video\cohface/1/1/data.avi,hr green,2.3296479163425894
D:\Projects\INMCA_Scarlata\video\cohface/1/1/data.avi, circ hr green 15,7.1959928315425765
D:\Projects\INMCA_Scarlata\video\cohface/1/1/data.avi, circ hr green 30,2.6675628965668814
D:\Projects\INMCA_Scarlata\video\cohface/1/1/data.avi, circ hr green,2.479764577056056
D:\Projects\INMCA_Scarlata\video\cohface/1/2/data.avi,hr green,14.816974173701675
D:\Projects\INMCA_Scarlata\video\cohface/1/2/data.avi, circ hr green 15,13.695130253551861
D:\Projects\INMCA_Scarlata\video\cohface/1/2/data.avi, circ hr green 30,15.445740359911822
D:\Projects\INMCA_Scarlata\video\cohface/1/2/data.avi, circ hr green,17.296508886902807
D:\Projects\INMCA_Scarlata\video\cohface/1/3/data.avi,hr green,17.449483392945577
D:\Projects\INMCA_Scarlata\video\cohface/1/3/data.avi, circ hr green 15,20.921997331650438
D:\Projects\INMCA_Scarlata\video\cohface/1/3/data.avi, circ hr green 30,18.639561660723782
D:\Projects\INMCA_Scarlata\video\cohface/1/3/data.avi, circ hr green,17.329808037686465
D:\Projects\INMCA_Scarlata\video\cohface/2/0/data.avi,hr green,3.947787858564073
D:\Projects\INMCA_Scarlata\video\cohface/2/0/data.avi, circ hr green 15,8.9806436439844
D:\Projects\INMCA_Scarlata\video\cohface/2/0/data.avi, circ hr green 30,6.74211378385837
D:\Projects\INMCA_Scarlata\video\cohface/2/0/data.avi, circ hr green,3.992694797021669
D:\Projects\INMCA_Scarlata\video\cohface/2/1/data.avi,hr green,5.82593115208364
D:\Projects\INMCA_Scarlata\video\cohface/2/1/data.avi, circ hr green 15,6.5664716521718995
D:\Projects\INMCA_Scarlata\video\cohface/2/1/data.avi, circ hr green 30,5.835410081916004
D:\Projects\INMCA_Scarlata\video\cohface/2/1/data.avi, circ hr green,5.82593115208364
D:\Projects\INMCA_Scarlata\video\cohface/2/2/data.avi,hr green,3.8721018839026233
D:\Projects\INMCA_Scarlata\video\cohface/2/2/data.avi, circ hr green 15,9.610839426767281
D:\Projects\INMCA_Scarlata\video\cohface/2/2/data.avi, circ hr green 30,5.121917973121263
D:\Projects\INMCA_Scarlata\video\cohface/2/2/data.avi, circ hr green,3.8721018839026233
D:\Projects\INMCA_Scarlata\video\cohface/2/3/data.avi,hr green,11.699171522890436
D:\Projects\INMCA_Scarlata\video\cohface/2/3/data.avi, circ hr green 15,9.765418255214174
D:\Projects\INMCA_Scarlata\video\cohface/2/3/data.avi, circ hr green 30,10.033443529704682
D:\Projects\INMCA_Scarlata\video\cohface/2/3/data.avi, circ hr green,13.070744725065268
D:\Projects\INMCA_Scarlata\video\cohface/3/0/data.avi,hr green,15.323122698326028
D:\Projects\INMCA_Scarlata\video\cohface/3/0/data.avi, circ hr green 15,17.65409160923436
D:\Projects\INMCA_Scarlata\video\cohface/3/0/data.avi, circ hr green 30,13.273377690090538
D:\Projects\INMCA_Scarlata\video\cohface/3/0/data.avi, circ hr green,14.151816997941149
D:\Projects\INMCA_Scarlata\video\cohface/3/1/data.avi,hr green,9.439302361698562
D:\Projects\INMCA_Scarlata\video\cohface/3/1/data.avi, circ hr green 15,17.270825386417272
